pattern_id,name,category,decision_criteria,signals,intent,variants,decision_questions,web_queries,verification_gate,dependencies,conflicts,skill_level_notes,related_fragments,consolidated_guide,section_anchor,phase
performance,Performance,operations,Use for operational concerns: performance optimization patterns,"performance optimization,latency,throughput",Performance optimization patterns,caching;query-optimization;async-processing;connection-pooling,Performance targets?;Bottleneck analysis?;Optimization priorities?;Load testing?,performance optimization SaaS {date};multi-tenant performance patterns {date};latency optimization {date},QG-P1,performance-isolation,,Basic: Basic caching;Advanced: Full performance suite with continuous optimization,performance-isolation;caching-strategies;observability,operations-patterns-guide.md,performance,production
api-design,API Design,integration,"Use when integrating modules with API design, REST, versioning","API design,REST,versioning",API design patterns,rest;graphql;grpc;openapi,API style?;Versioning strategy?;Documentation approach?;SDK generation?,API design patterns {date};multi-tenant API design {date};REST API best practices {date},QG-I1,facade-contracts,,Basic: REST with versioning;Advanced: Multi-protocol with SDK generation,facade-contracts;graphql-multi-tenancy;api-documentation,integration-patterns-guide.md,api-design,integration
ai-streaming-design,Ai Streaming Design,ai,Use for AI/agent workloads requiring ai streaming response patterns,"streaming inference,real-time AI,SSE",AI streaming response patterns,server-sent-events;websocket;chunked-response;long-polling,Streaming protocol?;Backpressure handling?;Connection management?;Tenant isolation?,AI streaming patterns {date};LLM streaming responses {date};real-time AI multi-tenant {date},QG-M3,ai-runtime,,Basic: SSE streaming;Advanced: Multi-tenant streaming with backpressure,ai-runtime;ai-runtime;performance-isolation,ai-runtime-patterns-guide.md,ai-streaming-design,solutioning
ai-feedback-loop,Ai Feedback Loop,ai,Use for AI/agent workloads requiring ai feedback and improvement,"feedback collection,RLHF,continuous improvement",AI feedback and improvement,thumbs-up-down;detailed-feedback;implicit-signals;rlhf,Feedback types?;Collection mechanism?;Tenant attribution?;Model improvement cycle?,AI feedback loop patterns {date};RLHF multi-tenant {date};LLM feedback collection {date},QG-M3,ai-operations,,Basic: Simple ratings;Advanced: Full feedback loop with model retraining,llmops;llmops;analytics-guide,ai-runtime-patterns-guide.md,ai-feedback-loop,solutioning
ai-batch,Ai Batch,ai,Use for AI/agent workloads requiring batch ai processing patterns,"batch processing,bulk inference,scheduled AI",Batch AI processing patterns,queue-based;scheduled;event-triggered;priority-based,Batch size limits?;Priority handling?;Failure recovery?;Cost optimization?,batch AI processing patterns {date};LLM batch inference {date};bulk AI operations {date},QG-M3,background-jobs,,Basic: Simple queue processing;Advanced: Priority queues with cost optimization,background-jobs;llmops;cost-tracking,ai-runtime-patterns-guide.md,ai-batch,solutioning
evaluation-patterns,Evaluation Patterns,ai,Use for AI/agent workloads requiring ai evaluation and benchmarking,"model evaluation,metrics,benchmarks",AI evaluation and benchmarking,accuracy;latency;cost;user-satisfaction,Evaluation metrics?;Benchmark strategy?;A/B testing approach?;Regression detection?,AI evaluation patterns {date};LLM benchmarking {date};model evaluation multi-tenant {date},QG-M3,ai-testing,,Basic: Accuracy metrics;Advanced: Full evaluation suite with A/B testing,testing-agent-safety;llmops;observability,ai-runtime-patterns-guide.md,evaluation-patterns,solutioning
dashboard,Dashboard,analytics,Use when: dashboard and visualization patterns,"dashboards,visualization,metrics display",Dashboard and visualization patterns,embedded;custom;tenant-branded;real-time,Dashboard types?;Real-time requirements?;Tenant customization?;Export capabilities?,dashboard patterns SaaS {date};multi-tenant dashboards {date};embedded analytics {date},QG-P1,analytics,,Basic: Pre-built dashboards;Advanced: Custom dashboard builder with tenant branding,analytics-guide;analytics-guide;observability,analytics-patterns-guide.md,dashboard,production
agent-orchestration,Agent Orchestration,ai,Use for AI/agent workloads requiring agent orchestration patterns,"multi-agent,coordination,workflow",Agent orchestration patterns,sequential;parallel;hierarchical;dynamic,Orchestration complexity?;State management?;Error handling?;Human-in-the-loop?,agent orchestration patterns {date};multi-agent coordination {date};AI agent workflows {date},QG-M3,ai-runtime,,Basic: Sequential execution;Advanced: Dynamic orchestration with state machines,ai-runtime;agent-coordination;run-contracts,ai-runtime-patterns-guide.md,agent-orchestration,solutioning
discovery-patterns,Discovery Patterns,discovery,Use when: discovery phase patterns,"requirements,stakeholders,scope",Discovery phase patterns,stakeholder-interviews;requirement-gathering;scope-definition,What requirements exist?;Who are stakeholders?;What is in/out of scope?,SaaS discovery phase best practices {date};multi-tenant requirements gathering {date},QG-D1,,,Basic: Stakeholder interviews;Advanced: Full discovery workshop,analyst-guide,discovery-patterns-guide.md,discovery-patterns,discovery
requirements-patterns,Requirements Patterns,discovery,Use when: requirements gathering patterns,"requirements,PRD,user stories",Requirements gathering patterns,functional;non-functional;constraints;assumptions,What functional requirements?;What NFRs?;What constraints?,requirements gathering SaaS {date};multi-tenant requirements patterns {date},QG-D1,discovery-patterns,,Basic: Feature list;Advanced: Full PRD with acceptance criteria,analyst-guide,discovery-patterns-guide.md,requirements-patterns,discovery
planning-patterns,Planning Patterns,planning,Use when: planning phase patterns,"roadmap,milestones,timeline",Planning phase patterns,milestone-planning;resource-allocation;risk-assessment,What milestones?;What resources?;What risks?,SaaS project planning best practices {date};roadmap patterns {date},QG-PL1,discovery-patterns,,Basic: Milestone list;Advanced: Full roadmap with dependencies,module-architecture,discovery-patterns-guide.md,planning-patterns,planning
agile-patterns,Agile Patterns,planning,Use when: agile planning patterns,"sprints,stories,estimation",Agile planning patterns,story-points;sprint-planning;backlog-grooming,How to estimate?;Sprint length?;Backlog strategy?,agile planning SaaS {date};story estimation patterns {date},QG-PL1,planning-patterns,,Basic: Story points;Advanced: Full velocity tracking,module-architecture,discovery-patterns-guide.md,agile-patterns,planning
tool-schema-valid,Tool Schema Valid,gate-verification,Use when: tool schema validation,"tool schema,validation,contracts",Tool schema validation,json-schema;openapi;pydantic,Schema format?;Validation depth?;Error handling?,tool schema validation patterns {date};AI tool contracts {date},QG-M3-T,tool-execution,,Basic: JSON schema;Advanced: Runtime validation,tool-execution-middleware,gate-verification-patterns-guide.md,tool-schema-valid,solutioning
permissions-defined,Permissions Defined,gate-verification,Use when: tool permission patterns,"permissions,RBAC,tool access",Tool permission patterns,role-based;tenant-scoped;approval-required,What roles can use tools?;Tenant restrictions?;Approval workflow?,tool permission patterns {date};AI tool RBAC {date},QG-M3-T,tool-execution,,Basic: Role-based;Advanced: Dynamic permissions,agent-identity-tbac-patterns,gate-verification-patterns-guide.md,permissions-defined,solutioning
sandbox-configured,Sandbox Configured,gate-verification,Use when: tool sandboxing patterns,"sandboxing,isolation,security",Tool sandboxing patterns,process-isolation;network-isolation;resource-limits,What isolation needed?;Resource limits?;Network access?,tool sandboxing patterns {date};AI tool security isolation {date},QG-M3-T,tool-execution,,Basic: Process isolation;Advanced: Full sandboxing,tool-execution-middleware,gate-verification-patterns-guide.md,sandbox-configured,solutioning
rate-limits-set,Rate Limits Set,gate-verification,Use when: tool rate limiting patterns,"rate limits,throttling,quotas",Tool rate limiting patterns,per-tenant;per-tool;per-agent,Rate limits per tenant?;Per tool?;Burst handling?,AI tool rate limiting {date};multi-tenant throttling {date},QG-M3-T,rate-limiting,,Basic: Fixed limits;Advanced: Adaptive rate limiting,rate-limiting,gate-verification-patterns-guide.md,rate-limits-set,solutioning
architecture-complete,Architecture Complete,gate-verification,Use when: architecture completeness check,"architecture,documentation,completeness",Architecture completeness check,diagrams;decisions;contracts,What diagrams exist?;ADRs documented?;Contracts defined?,architecture documentation patterns {date};completeness checklist {date},QG-S1,module-boundaries,,Basic: Diagrams;Advanced: Full ADR process,module-architecture,gate-verification-patterns-guide.md,architecture-complete,solutioning
dependencies-mapped,Dependencies Mapped,gate-verification,Use when: dependency mapping patterns,"dependencies,mapping,contracts",Dependency mapping patterns,module-deps;external-deps;version-deps,What internal dependencies?;External services?;Version constraints?,dependency mapping patterns {date};module dependencies {date},QG-S1,module-boundaries,,Basic: Dependency list;Advanced: Dependency graph,module-architecture,gate-verification-patterns-guide.md,dependencies-mapped,solutioning
facades-defined,Facades Defined,gate-verification,Use when: facade definition patterns,"facades,interfaces,contracts",Facade definition patterns,REST;GraphQL;events,What interface types?;Versioning strategy?;Contract format?,facade design patterns {date};API contract patterns {date},QG-S1,facade-contracts,,Basic: REST endpoints;Advanced: Multi-protocol,module-facade-patterns,gate-verification-patterns-guide.md,facades-defined,solutioning
stories-defined,Stories Defined,gate-verification,Use when: story definition patterns,"stories,epics,backlog",Story definition patterns,user-stories;technical-stories;spikes,Story types?;Acceptance criteria?;Definition of done?,user story patterns {date};agile story writing {date},QG-S2,planning-patterns,,Basic: As-a format;Advanced: Full BDD,module-architecture,gate-verification-patterns-guide.md,stories-defined,solutioning
acceptance-criteria,Acceptance Criteria,gate-verification,Use when: acceptance criteria patterns,"acceptance,criteria,verification",Acceptance criteria patterns,given-when-then;checklist;measurable,Criteria format?;Testability?;Edge cases?,acceptance criteria patterns {date};BDD patterns {date},QG-S2,stories-defined,,Basic: Checklist;Advanced: Given-when-then,module-architecture,gate-verification-patterns-guide.md,acceptance-criteria,solutioning
test-plan,Test Plan,gate-verification,Use when: test planning patterns,"testing,plan,strategy",Test planning patterns,unit;integration;e2e;manual,Test coverage?;Automation level?;Manual testing scope?,test planning patterns {date};multi-tenant test strategy {date},QG-S2,testing-isolation,,Basic: Test matrix;Advanced: Full test strategy,testing-tenant-isolation,gate-verification-patterns-guide.md,test-plan,solutioning
root-cause-identified,Root Cause Identified,gate-verification,Use when: root cause analysis patterns,"root cause,analysis,debugging",Root cause analysis patterns,five-whys;fishbone;timeline,RCA method?;Documentation?;Action items?,root cause analysis patterns {date};incident RCA {date},QG-M1-R,,,Basic: Five whys;Advanced: Full incident review,incident-response-patterns,gate-verification-patterns-guide.md,root-cause-identified,solutioning
recovery-path-selected,Recovery Path Selected,gate-verification,Use when: recovery path patterns,"recovery,remediation,path",Recovery path patterns,fix-forward;rollback;partial-fix,Recovery strategy?;Timeline?;Risk assessment?,software recovery patterns {date};remediation strategies {date},QG-M1-R,root-cause-identified,,Basic: Single path;Advanced: Decision tree,incident-response-patterns,gate-verification-patterns-guide.md,recovery-path-selected,solutioning
locked-categories,Locked Categories,gate-verification,Use when: gate category locking patterns,"gate locking,partial pass,incremental",Gate category locking patterns,category-lock;partial-pass;incremental,What categories locked?;Re-validation rules?;Lock duration?,gate locking patterns {date};incremental validation {date},QG-M1-R,,,Basic: Simple lock;Advanced: Conditional locks,quality-gates,gate-verification-patterns-guide.md,locked-categories,solutioning
issue-classified,Issue Classified,gate-verification,Use when: issue classification patterns,"classification,severity,priority",Issue classification patterns,severity-based;impact-based;effort-based,Classification criteria?;Priority matrix?;SLA impact?,issue classification patterns {date};severity ranking {date},QG-R1,,,Basic: Severity levels;Advanced: Impact matrix,incident-response-patterns,gate-verification-patterns-guide.md,issue-classified,solutioning
salvage-complete,Salvage Complete,gate-verification,Use when: salvage and recovery patterns,"salvage,recovery,preservation",Salvage and recovery patterns,data-preservation;partial-recovery;artifact-salvage,What to preserve?;Recovery priority?;Data integrity?,software salvage patterns {date};partial recovery {date},QG-R1,issue-classified,,Basic: Data backup;Advanced: Full state preservation,disaster-recovery,gate-verification-patterns-guide.md,salvage-complete,solutioning
recovery-timeboxed,Recovery Timeboxed,gate-verification,Use when: recovery timebox patterns,"timebox,deadline,constraint",Recovery timebox patterns,fixed-timebox;dynamic-timebox;escalation-trigger,Timebox duration?;Extension rules?;Escalation triggers?,recovery timebox patterns {date};incident SLA {date},QG-R1,salvage-complete,,Basic: Fixed deadline;Advanced: Dynamic timebox,incident-response-patterns,gate-verification-patterns-guide.md,recovery-timeboxed,solutioning
code-quality,Code Quality,development,Use for development: code quality patterns,"linting,formatting,standards",Code quality patterns,eslint;prettier;sonar;custom,Lint rules?;Format standards?;Quality gates?,code quality patterns {date};linting best practices {date},QG-DEV1,,,Basic: ESLint;Advanced: Full quality suite,local-development-setup,architecture-patterns-guide.md,code-quality,solutioning
rls-patterns,Rls Patterns,security,"Use when implementing rls implementation patterns with signals: row-level-security,PostgreSQL,isolation","row-level-security,PostgreSQL,isolation",RLS implementation patterns,policy-per-table;shared-policy;tenant-column,Policy scope?;Performance impact?;Testing strategy?,PostgreSQL RLS patterns {date};row-level security implementation {date},QG-TC2,tenant-isolation,,Basic: Simple policy;Advanced: Complex multi-tenant RLS,rls-best-practices,security-patterns-guide.md,rls-patterns,solutioning
ai-observability-verification,Ai Observability Verification,gate-verification,Use when: ai observability gate verification,"LLM monitoring,AI telemetry,model performance",AI observability gate verification,prompt-tracing;token-tracking;latency-monitoring;error-analysis,What AI metrics to track?;Prompt logging strategy?;Cost attribution depth?,AI observability verification {date};LLM monitoring best practices {date},QG-AI2,llm-observability,,Basic: Request logging;Advanced: Full prompt tracing with evaluation,llmops;observability,gate-verification-patterns-guide.md,ai-observability-verification,solutioning
compliance-continuous-verification,Compliance Continuous Verification,gate-verification,Use when: continuous compliance verification,"ongoing compliance,control monitoring,audit readiness",Continuous compliance verification,control-monitoring;evidence-collection;gap-detection;remediation-tracking,What controls to monitor?;Evidence freshness requirements?;Gap escalation policy?,continuous compliance monitoring {date};SOC 2 continuous assurance {date},QG-CC,compliance,,Basic: Periodic checks;Advanced: Real-time control monitoring,compliance;audit-logging-patterns,gate-verification-patterns-guide.md,compliance-continuous-verification,solutioning
cost-scaling-verification,Cost Scaling Verification,gate-verification,Use when: cost and scaling gate verification,"cost management,scaling efficiency,budget compliance",Cost and scaling gate verification,budget-tracking;scaling-efficiency;cost-per-tenant;optimization-targets,Cost thresholds?;Scaling trigger validation?;Per-tenant cost limits?,SaaS cost management verification {date};scaling efficiency patterns {date},QG-CS1,cost-tracking,,Basic: Budget monitoring;Advanced: Predictive cost management,cost-tracking;scaling-patterns,gate-verification-patterns-guide.md,cost-scaling-verification,solutioning
data-classification-verification,Data Classification Verification,gate-verification,Use when: data classification gate verification,"data sensitivity,classification labels,handling requirements",Data classification gate verification,sensitivity-levels;classification-policy;handling-rules;audit-compliance,What classification levels?;Auto-classification accuracy?;Handling policy enforcement?,data classification verification {date};sensitivity labeling patterns {date},QG-DC1,compliance,,Basic: Manual classification;Advanced: ML-assisted auto-classification,compliance;data-residency,gate-verification-patterns-guide.md,data-classification-verification,solutioning
disaster-recovery-drill-verification,Disaster Recovery Drill Verification,gate-verification,Use when: dr drill gate verification,"DR testing,recovery validation,RTO/RPO verification",DR drill gate verification,failover-testing;recovery-time;data-integrity;runbook-validation,DR frequency?;Recovery targets met?;Runbook accuracy?,disaster recovery drill verification {date};DR testing best practices {date},QG-DR1,disaster-recovery,,Basic: Annual DR test;Advanced: Quarterly automated drills,disaster-recovery;deployment,gate-verification-patterns-guide.md,disaster-recovery-drill-verification,solutioning
foundation-gate-verification,Foundation Gate Verification,gate-verification,Use when: foundation gate verification,"platform foundation,shared kernel,tenant model",Foundation gate verification,architecture-completeness;tenant-model-verified;runtime-ready;test-coverage,Foundation checklist complete?;Shared kernel implemented?;AI runtime configured?,foundation gate verification {date};platform foundation validation {date},QG-F1,tenant-isolation,,Basic: Checklist validation;Advanced: Automated foundation tests,tenant-isolation;ai-runtime,gate-verification-patterns-guide.md,foundation-gate-verification,foundation
migration-gate-verification,Migration Gate Verification,gate-verification,Use when: migration gate verification,"data migration,schema changes,zero-downtime",Migration gate verification,data-integrity;rollback-plan;performance-impact;tenant-isolation,Migration strategy validated?;Rollback tested?;Tenant data preserved?,migration gate verification {date};zero-downtime migration patterns {date},QG-MG1,migration-per-tenant,,Basic: Migration scripts;Advanced: Automated migration validation,tenant-migration-patterns;deployment,gate-verification-patterns-guide.md,migration-gate-verification,solutioning
operations-continuous-verification,Operations Continuous Verification,gate-verification,Use when: operations continuous gate verification,"operational health,postmortem process,continuous improvement",Operations continuous gate verification,postmortem-completeness;action-item-tracking;metric-health;improvement-cycle,Postmortem rate?;Action completion rate?;Operational metrics healthy?,operations continuous verification {date};SRE operational excellence {date},QG-OC,sre,,Basic: Postmortem completion;Advanced: Full operational maturity,sre-guide;incident-response-patterns;runbook-guide,gate-verification-patterns-guide.md,operations-continuous-verification,solutioning
post-deployment-verification,Post Deployment Verification,gate-verification,Use when: post-deployment gate verification,"deployment validation,smoke tests,rollback readiness",Post-deployment gate verification,smoke-test-pass;monitoring-active;tenant-health;rollback-ready,Smoke tests passing?;Monitoring active?;Rollback procedure ready?,post-deployment verification {date};deployment validation patterns {date},QG-PD1,deployment,,Basic: Manual smoke tests;Advanced: Automated deployment validation,deployment;observability,gate-verification-patterns-guide.md,post-deployment-verification,solutioning
performance-review-verification,Performance Review Verification,gate-verification,Use when: performance review gate verification,"performance baseline,SLA compliance,capacity planning",Performance review gate verification,baseline-comparison;sla-compliance;capacity-runway;cost-efficiency,Performance within targets?;SLAs met?;Capacity sufficient?,performance review verification {date};SaaS performance benchmarking {date},QG-PR1,performance,,Basic: Metric comparison;Advanced: Predictive capacity analysis,performance-isolation;sla-management-guide,gate-verification-patterns-guide.md,performance-review-verification,solutioning
security-baseline-verification,Security Baseline Verification,gate-verification,Use when: security baseline gate verification,"security baseline,vulnerability scanning,hardening",Security baseline gate verification,vulnerability-scan;hardening-checklist;compliance-mapping;remediation-tracking,Scan coverage complete?;Critical vulns remediated?;Hardening applied?,security baseline verification {date};security hardening patterns {date},QG-S3,security,,Basic: Vulnerability scan;Advanced: Continuous security posture,all-security-patterns;compliance,gate-verification-patterns-guide.md,security-baseline-verification,solutioning
ai-security-verification,Ai Security Verification,gate-verification,Use when: ai security gate verification,"AI security,prompt injection,model security",AI security gate verification,prompt-injection-prevention;model-access-control;output-filtering;agent-safety,Prompt security tested?;Model access controlled?;Output filtered?,AI security verification {date};LLM security best practices {date},QG-S4,ai-safety,,Basic: Output filtering;Advanced: Full AI red teaming,ai-security;testing-agent-safety,gate-verification-patterns-guide.md,ai-security-verification,solutioning
network-security-verification,Network Security Verification,gate-verification,Use when: network security gate verification,"network segmentation,firewall rules,traffic encryption",Network security gate verification,segmentation-verified;firewall-rules;encryption-enforced;ingress-egress,Network segmented?;Traffic encrypted?;Rules audited?,network security verification {date};cloud network security {date},QG-S6,security,,Basic: Firewall rules;Advanced: Zero-trust networking,all-security-patterns;network-security-patterns,gate-verification-patterns-guide.md,network-security-verification,solutioning
identity-verification,Identity Verification,gate-verification,Use when: identity gate verification,"authentication,authorization,identity management",Identity gate verification,mfa-enforced;rbac-verified;sso-configured;session-management,MFA enabled?;RBAC correct?;SSO configured?,identity verification {date};IAM best practices {date},QG-S7,sso-authentication,,Basic: Password policy;Advanced: Zero-trust identity,sso-integration-patterns;rbac-abac-patterns,gate-verification-patterns-guide.md,identity-verification,solutioning
secrets-security-verification,Secrets Security Verification,gate-verification,Use when: secrets security gate verification,"secrets management,rotation,vault",Secrets security gate verification,secrets-inventoried;rotation-configured;vault-access;no-hardcoded,Secrets in vault?;Rotation policy?;No hardcoded secrets?,secrets security verification {date};secrets management best practices {date},QG-S8,secrets-management,,Basic: Env vars;Advanced: Full vault with rotation,encryption-key-management;encryption-patterns,gate-verification-patterns-guide.md,secrets-security-verification,solutioning
logging-security-verification,Logging Security Verification,gate-verification,Use when: logging security gate verification,"security logging,audit trails,log integrity",Logging security gate verification,audit-coverage;log-integrity;retention-policy;access-control,Audit events logged?;Logs immutable?;Retention compliant?,security logging verification {date};audit logging best practices {date},QG-S9,audit-logging,,Basic: Application logs;Advanced: Immutable audit trails,audit-logging-patterns;compliance,gate-verification-patterns-guide.md,logging-security-verification,solutioning
endpoint-security-verification,Endpoint Security Verification,gate-verification,Use when: endpoint security gate verification,"API security,endpoint protection,input validation",Endpoint security gate verification,input-validation;rate-limiting;authentication;authorization,Inputs validated?;Rate limits set?;Auth enforced?,endpoint security verification {date};API security best practices {date},QG-S10,api-security,,Basic: Input validation;Advanced: Full API security suite,all-security-patterns;rate-limiting,gate-verification-patterns-guide.md,endpoint-security-verification,solutioning
security-audit-verification,Security Audit Verification,gate-verification,Use when: security audit gate verification,"security audit,penetration testing,compliance audit",Security audit gate verification,pentest-complete;audit-findings;remediation-plan;evidence-collected,Pentest passed?;Audit complete?;Evidence archived?,security audit verification {date};security audit best practices {date},QG-SA1,security,,Basic: Annual audit;Advanced: Continuous audit readiness,all-security-patterns;compliance,gate-verification-patterns-guide.md,security-audit-verification,solutioning
tenant-unit-coverage-verification,Tenant Unit Coverage Verification,gate-verification,Use when: tenant unit coverage gate verification,"unit test coverage,tenant code testing,coverage thresholds",Tenant unit coverage gate verification,coverage-threshold;tenant-code-tested;edge-cases;critical-paths,Coverage >90%?;Tenant code tested?;Critical paths covered?,tenant unit test coverage {date};multi-tenant testing patterns {date},QG-TC1,testing-isolation,,Basic: Line coverage;Advanced: Full tenant code coverage,testing-isolation;testing-agent-safety,gate-verification-patterns-guide.md,tenant-unit-coverage-verification,solutioning
cross-tenant-coverage-verification,Cross Tenant Coverage Verification,gate-verification,Use when: cross-tenant coverage gate verification,"cross-tenant tests,isolation testing,boundary tests",Cross-tenant coverage gate verification,blocking-tests;access-path-coverage;security-tests;boundary-validation,All paths covered?;Blocking tests pass?;Boundaries validated?,cross-tenant test coverage {date};tenant isolation testing {date},QG-TC3,testing-isolation,,Basic: API blocking tests;Advanced: Full access path coverage,testing-isolation;tenant-isolation,gate-verification-patterns-guide.md,cross-tenant-coverage-verification,solutioning
rag-observability,Rag Observability,observability,Use when: rag pipeline observability,"RAG metrics,retrieval monitoring,semantic search observability",RAG pipeline observability,langfuse;retrieval-latency;relevance-scores;chunk-metrics,What retrieval metrics needed?;Quality baselines defined?;Per-tenant tracking?,RAG observability best practices {date};retrieval metrics multi-tenant {date};semantic search monitoring {date},QG-AI2,rag-retrieval,,Basic: Retrieval latency;Advanced: Full RAG quality metrics,rag-architecture-guide;rag-observability;vector-store-observability,observability-patterns-guide.md,rag-observability,solutioning
tool-execution-observability,Tool Execution Observability,observability,Use when: tool execution observability,"tool metrics,function calling monitoring,sandbox observability",Tool execution observability,execution-latency;permission-audit;sandbox-metrics;security-alerts,What tool metrics needed?;Sandbox monitoring?;Permission auditing?,AI agent tool execution monitoring {date};function calling observability {date};sandbox monitoring patterns {date},QG-AI2,tool-execution,,Basic: Execution latency;Advanced: Full sandbox monitoring,tool-execution;agent-runtime-patterns,observability-patterns-guide.md,tool-execution-observability,solutioning
embedding-observability,Embedding Observability,observability,Use when: embedding pipeline observability,"embedding metrics,drift detection,embedding quality",Embedding pipeline observability,generation-latency;drift-detection;cost-tracking;quality-metrics,What embedding metrics needed?;Drift detection configured?;Cost tracking?,embedding observability best practices {date};embedding drift detection {date};embedding cost tracking {date},QG-AI2,embedding-strategy,,Basic: Generation latency;Advanced: Drift detection with quality,embedding-observability;llmops;vector-store-observability,observability-patterns-guide.md,embedding-observability,solutioning
agent-memory-observability,Agent Memory Observability,observability,Use when: agent memory observability,"memory metrics,isolation verification,GDPR audit",Agent memory observability,tier-metrics;isolation-checks;gdpr-deletion;access-audit,What memory metrics needed?;Isolation verification?;GDPR compliance?,AI agent memory observability {date};memory isolation monitoring {date};GDPR deletion audit patterns {date},QG-AI2,memory-tiers,,Basic: Tier metrics;Advanced: Full GDPR audit trail,memory-tiers;compliance,observability-patterns-guide.md,agent-memory-observability,solutioning
context-window-observability,Context Window Observability,observability,Use when: context window observability,"context metrics,token tracking,utilization monitoring",Context window observability,utilization-ratio;composition-metrics;overflow-detection;efficiency-metrics,What context metrics needed?;Composition tracking?;Overflow alerting?,LLM context window monitoring {date};token utilization tracking {date};context optimization metrics {date},QG-AI2,ai-context,,Basic: Utilization tracking;Advanced: Full composition analysis,context-compiler-patterns;memory-tiers,observability-patterns-guide.md,context-window-observability,solutioning
data-anonymization,Data Anonymization,compliance,"Use for compliance requirements: data anonymization, PII removal, GDPR","data anonymization,PII removal,GDPR",Data anonymization patterns for GDPR compliance,k-anonymity;differential-privacy;pseudonymization;data-masking,What PII types?;Anonymization method?;Reversibility needed?;Audit requirements?,data anonymization GDPR patterns {date};PII removal best practices {date};k-anonymity implementation {date},QG-S7,tenant-data-anonymization,,Basic: Simple masking;Advanced: Differential privacy with audit trail,data-masking-patterns;compliance;tenant-data-anonymization,governance-patterns-guide.md,data-anonymization,solutioning
data-masking,Data Masking,compliance,"Use for compliance requirements: data masking, field-level encryption, sensitive data","data masking,field-level encryption,sensitive data",Data masking patterns for sensitive fields,format-preserving;tokenization;redaction;hashing,What fields to mask?;Format preservation?;Reversibility?;Performance impact?,data masking patterns {date};field-level encryption {date};tokenization best practices {date},QG-S7,data-protection,,Basic: Simple redaction;Advanced: Format-preserving encryption with tokenization,data-masking-patterns;encryption-patterns;compliance,governance-patterns-guide.md,data-masking,solutioning
action-contract-8field,8-Field Action Contract,ai-safety,Use when: define 8-field action contract,"agent decisions,proof certificates,tenant isolation",Define 8-field action contract,full-contract;minimal-contract;financial-contract,What risk level for actions?;Proof certificates needed?;Tenant isolation requirements?,AI agent action contract patterns {date};multi-tenant agent safety contracts {date},QG-AI3,agent-runtime,,Basic: tenant_id + action_type;Advanced: Full 8-field with proofs,8-field-action-contract-guide;run-contracts,ai-safety-patterns-guide.md,action-contract-8field,solutioning
prg-gate,PRG Gate,quality,Use when: configure prg 10 checks,"production readiness,deployment gate,safety checks",Configure PRG 10 checks,full-prg;partial-prg;mini-prg;emergency-prg,All 10 checks needed?;What automation level?;Manual approval workflow?,production readiness gate AI systems {date};multi-tenant deployment checklist {date},QG-PRG,action-contract-8field,,Basic: 4 critical checks;Advanced: Full 10-check automation,prg-gate-implementation;production-readiness,gate-verification-patterns-guide.md,prg-gate,solutioning
request-loop,Request Loop,runtime,Use when: handle user requests <100ms,"synchronous handling,latency,tenant routing",Handle user requests <100ms,fast-path;queued;streaming,What latency target?;Tier-based routing needed?;Timeout handling?,AI agent request loop patterns {date};multi-tenant request routing {date},QG-M3,tenant-routing,,Basic: Direct routing;Advanced: Tier-based priority pools,request-loop-patterns;tenant-routing,runtime-loops-patterns-guide.md,request-loop,solutioning
control-loop,Control Loop,runtime,Use when: manage agent state transitions,"state machines,orchestration,workflows",Manage agent state transitions,simple-fsm;langgraph;custom-orchestration,What state complexity?;Checkpoint frequency?;Cross-session state?,AI agent state machine patterns {date};LangGraph control flow {date},QG-M3,agent-runtime,,Basic: In-memory state;Advanced: Distributed checkpoints,control-loop-patterns;agent-runtime-patterns,runtime-loops-patterns-guide.md,control-loop,solutioning
learning-loop,Learning Loop,runtime,Use when: tenant-isolated model improvement,"feedback,improvement,privacy",Tenant-isolated model improvement,per-tenant;federated;shared-consent,Fine-tuning per tenant?;Privacy requirements?;Consent management?,federated learning multi-tenant {date};RLHF tenant isolation {date},QG-M3,agent-runtime;compliance,,Basic: Shared with consent;Advanced: Federated with differential privacy,learning-loop-patterns;llmops,runtime-loops-patterns-guide.md,learning-loop,solutioning
economic-loop,Economic Loop,runtime,Use when: real-time budget enforcement,"budgets,quotas,cost control",Real-time budget enforcement,hard-limit;soft-throttle;alert-only,What enforcement level?;Overage handling?;Per-action vs per-day?,AI usage metering multi-tenant {date};token budget management {date},QG-M3,usage-metering;quota-management,,Basic: Daily limits;Advanced: Real-time per-action budgets,economic-loop-patterns;quota-management,runtime-loops-patterns-guide.md,economic-loop,solutioning
recovery-loop,Recovery Loop,runtime,Use when: tenant-scoped failure recovery,"rollback,resilience,fault tolerance",Tenant-scoped failure recovery,retry;compensate;checkpoint;quarantine,What recovery SLA?;Blast radius containment?;Rollback depth?,AI agent rollback patterns {date};multi-tenant failure isolation {date},QG-M3,disaster-recovery,,Basic: Retry with backoff;Advanced: Full checkpoint restore,recovery-loop-patterns;disaster-recovery,runtime-loops-patterns-guide.md,recovery-loop,solutioning
