pattern_id,name,category,decision_criteria,signals,intent,variants,decision_questions,web_queries,verification_gate,dependencies,conflicts,skill_level_notes,related_fragments,core_pattern_ref,domain_ref,shortcode
tenant-isolation,Tenant Isolation,security,"Use when implementing prevent cross-tenant data access with signals: shared data,multi-tenant,customer separation","shared data,multi-tenant,customer separation",Prevent cross-tenant data access,row-level-security;schema-per-tenant;database-per-tenant,What compliance requirements apply?;How many tenants expected?;What isolation level required?,multi-tenant isolation patterns {date};PostgreSQL RLS best practices {date},QG-M2,database;security,,Basic: RLS with tenant_id column;Advanced: Schema isolation with connection pooling,rls-best-practices;multi-tenant-patterns;testing-tenant-isolation,tenant-isolation.md,tenant.md,ZTI
agent-runtime,Agent Runtime,ai,Use for AI/agent workloads requiring design agent execution framework,"LLM agents,orchestration,multi-step",Design agent execution framework,langgraph;crewai;autogen;custom,What orchestration complexity needed?;Human-in-the-loop required?;State persistence needs?,LangGraph agent patterns {date};agent orchestration best practices {date},QG-M3,tenant-isolation,,Basic: Single agent with tools;Advanced: Hierarchical multi-agent,agent-runtime-patterns;run-contracts;memory-tiers,langgraph.md;agent-orchestration.md,ai-runtime.md,ZAR
requirements-patterns,Requirements Patterns,discovery,Use when: requirements gathering patterns,"requirements,PRD,user stories",Requirements gathering patterns,functional;non-functional;constraints;assumptions,What functional requirements?;What NFRs?;What constraints?,requirements gathering SaaS {date};multi-tenant requirements patterns {date},QG-D1,discovery-patterns,,Basic: Feature list;Advanced: Full PRD with acceptance criteria,analyst-guide
planning-patterns,Planning Patterns,planning,Use when: planning phase patterns,"roadmap,milestones,timeline",Planning phase patterns,milestone-planning;resource-allocation;risk-assessment,What milestones?;What resources?;What risks?,SaaS project planning best practices {date};roadmap patterns {date},QG-PL1,discovery-patterns,,Basic: Milestone list;Advanced: Full roadmap with dependencies,module-architecture
agile-patterns,Agile Patterns,planning,Use when: agile planning patterns,"sprints,stories,estimation",Agile planning patterns,story-points;sprint-planning;backlog-grooming,How to estimate?;Sprint length?;Backlog strategy?,agile planning SaaS {date};story estimation patterns {date},QG-PL1,planning-patterns,,Basic: Story points;Advanced: Full velocity tracking,module-architecture
tool-schema-valid,Tool Schema Valid,gate-verification,Use when: tool schema validation,"tool schema,validation,contracts",Tool schema validation,json-schema;openapi;pydantic,Schema format?;Validation depth?;Error handling?,tool schema validation patterns {date};AI tool contracts {date},QG-M3-T,tool-execution,,Basic: JSON schema;Advanced: Runtime validation,tool-execution-middleware
permissions-defined,Permissions Defined,gate-verification,Use when: tool permission patterns,"permissions,RBAC,tool access",Tool permission patterns,role-based;tenant-scoped;approval-required,What roles can use tools?;Tenant restrictions?;Approval workflow?,tool permission patterns {date};AI tool RBAC {date},QG-M3-T,tool-execution,,Basic: Role-based;Advanced: Dynamic permissions,agent-identity-tbac-patterns
sandbox-configured,Sandbox Configured,gate-verification,Use when: tool sandboxing patterns,"sandboxing,isolation,security",Tool sandboxing patterns,process-isolation;network-isolation;resource-limits,What isolation needed?;Resource limits?;Network access?,tool sandboxing patterns {date};AI tool security isolation {date},QG-M3-T,tool-execution,,Basic: Process isolation;Advanced: Full sandboxing,tool-execution-middleware
rate-limits-set,Rate Limits Set,gate-verification,Use when: tool rate limiting patterns,"rate limits,throttling,quotas",Tool rate limiting patterns,per-tenant;per-tool;per-agent,Rate limits per tenant?;Per tool?;Burst handling?,AI tool rate limiting {date};multi-tenant throttling {date},QG-M3-T,rate-limiting,,Basic: Fixed limits;Advanced: Adaptive rate limiting,rate-limiting
architecture-complete,Architecture Complete,gate-verification,Use when: architecture completeness check,"architecture,documentation,completeness",Architecture completeness check,diagrams;decisions;contracts,What diagrams exist?;ADRs documented?;Contracts defined?,architecture documentation patterns {date};completeness checklist {date},QG-S1,module-boundaries,,Basic: Diagrams;Advanced: Full ADR process,module-architecture
dependencies-mapped,Dependencies Mapped,gate-verification,Use when: dependency mapping patterns,"dependencies,mapping,contracts",Dependency mapping patterns,module-deps;external-deps;version-deps,What internal dependencies?;External services?;Version constraints?,dependency mapping patterns {date};module dependencies {date},QG-S1,module-boundaries,,Basic: Dependency list;Advanced: Dependency graph,module-architecture
facades-defined,Facades Defined,gate-verification,Use when: facade definition patterns,"facades,interfaces,contracts",Facade definition patterns,REST;GraphQL;events,What interface types?;Versioning strategy?;Contract format?,facade design patterns {date};API contract patterns {date},QG-S1,facade-contracts,,Basic: REST endpoints;Advanced: Multi-protocol,module-facade-patterns
stories-defined,Stories Defined,gate-verification,Use when: story definition patterns,"stories,epics,backlog",Story definition patterns,user-stories;technical-stories;spikes,Story types?;Acceptance criteria?;Definition of done?,user story patterns {date};agile story writing {date},QG-S2,planning-patterns,,Basic: As-a format;Advanced: Full BDD,module-architecture
acceptance-criteria,Acceptance Criteria,gate-verification,Use when: acceptance criteria patterns,"acceptance,criteria,verification",Acceptance criteria patterns,given-when-then;checklist;measurable,Criteria format?;Testability?;Edge cases?,acceptance criteria patterns {date};BDD patterns {date},QG-S2,stories-defined,,Basic: Checklist;Advanced: Given-when-then,module-architecture
test-plan,Test Plan,gate-verification,Use when: test planning patterns,"testing,plan,strategy",Test planning patterns,unit;integration;e2e;manual,Test coverage?;Automation level?;Manual testing scope?,test planning patterns {date};multi-tenant test strategy {date},QG-S2,testing-isolation,,Basic: Test matrix;Advanced: Full test strategy,testing-tenant-isolation
root-cause-identified,Root Cause Identified,gate-verification,Use when: root cause analysis patterns,"root cause,analysis,debugging",Root cause analysis patterns,five-whys;fishbone;timeline,RCA method?;Documentation?;Action items?,root cause analysis patterns {date};incident RCA {date},QG-M1-R,,,Basic: Five whys;Advanced: Full incident review,incident-response-patterns
recovery-path-selected,Recovery Path Selected,gate-verification,Use when: recovery path patterns,"recovery,remediation,path",Recovery path patterns,fix-forward;rollback;partial-fix,Recovery strategy?;Timeline?;Risk assessment?,software recovery patterns {date};remediation strategies {date},QG-M1-R,root-cause-identified,,Basic: Single path;Advanced: Decision tree,incident-response-patterns
locked-categories,Locked Categories,gate-verification,Use when: gate category locking patterns,"gate locking,partial pass,incremental",Gate category locking patterns,category-lock;partial-pass;incremental,What categories locked?;Re-validation rules?;Lock duration?,gate locking patterns {date};incremental validation {date},QG-M1-R,,,Basic: Simple lock;Advanced: Conditional locks,quality-gates
issue-classified,Issue Classified,gate-verification,Use when: issue classification patterns,"classification,severity,priority",Issue classification patterns,severity-based;impact-based;effort-based,Classification criteria?;Priority matrix?;SLA impact?,issue classification patterns {date};severity ranking {date},QG-R1,,,Basic: Severity levels;Advanced: Impact matrix,incident-response-patterns
salvage-complete,Salvage Complete,gate-verification,Use when: salvage and recovery patterns,"salvage,recovery,preservation",Salvage and recovery patterns,data-preservation;partial-recovery;artifact-salvage,What to preserve?;Recovery priority?;Data integrity?,software salvage patterns {date};partial recovery {date},QG-R1,issue-classified,,Basic: Data backup;Advanced: Full state preservation,disaster-recovery
recovery-timeboxed,Recovery Timeboxed,gate-verification,Use when: recovery timebox patterns,"timebox,deadline,constraint",Recovery timebox patterns,fixed-timebox;dynamic-timebox;escalation-trigger,Timebox duration?;Extension rules?;Escalation triggers?,recovery timebox patterns {date};incident SLA {date},QG-R1,salvage-complete,,Basic: Fixed deadline;Advanced: Dynamic timebox,incident-response-patterns
code-quality,Code Quality,development,Use for development: code quality patterns,"linting,formatting,standards",Code quality patterns,eslint;prettier;sonar;custom,Lint rules?;Format standards?;Quality gates?,code quality patterns {date};linting best practices {date},QG-DEV1,,,Basic: ESLint;Advanced: Full quality suite,local-development-setup
rls-patterns,Rls Patterns,security,"Use when implementing rls implementation patterns with signals: row-level-security,PostgreSQL,isolation","row-level-security,PostgreSQL,isolation",RLS implementation patterns,policy-per-table;shared-policy;tenant-column,Policy scope?;Performance impact?;Testing strategy?,PostgreSQL RLS patterns {date};row-level security implementation {date},QG-TC2,tenant-isolation,,Basic: Simple policy;Advanced: Complex multi-tenant RLS,rls-best-practices
ai-observability-verification,Ai Observability Verification,gate-verification,Use when: ai observability gate verification,"LLM monitoring,AI telemetry,model performance",AI observability gate verification,prompt-tracing;token-tracking;latency-monitoring;error-analysis,What AI metrics to track?;Prompt logging strategy?;Cost attribution depth?,AI observability verification {date};LLM monitoring best practices {date},QG-AI2,llm-observability,,Basic: Request logging;Advanced: Full prompt tracing with evaluation,llmops;observability
compliance-continuous-verification,Compliance Continuous Verification,gate-verification,Use when: continuous compliance verification,"ongoing compliance,control monitoring,audit readiness",Continuous compliance verification,control-monitoring;evidence-collection;gap-detection;remediation-tracking,What controls to monitor?;Evidence freshness requirements?;Gap escalation policy?,continuous compliance monitoring {date};SOC 2 continuous assurance {date},QG-CC,compliance,,Basic: Periodic checks;Advanced: Real-time control monitoring,compliance;audit-logging-patterns
cost-scaling-verification,Cost Scaling Verification,gate-verification,Use when: cost and scaling gate verification,"cost management,scaling efficiency,budget compliance",Cost and scaling gate verification,budget-tracking;scaling-efficiency;cost-per-tenant;optimization-targets,Cost thresholds?;Scaling trigger validation?;Per-tenant cost limits?,SaaS cost management verification {date};scaling efficiency patterns {date},QG-CS1,cost-tracking,,Basic: Budget monitoring;Advanced: Predictive cost management,cost-tracking;scaling-patterns
data-classification-verification,Data Classification Verification,gate-verification,Use when: data classification gate verification,"data sensitivity,classification labels,handling requirements",Data classification gate verification,sensitivity-levels;classification-policy;handling-rules;audit-compliance,What classification levels?;Auto-classification accuracy?;Handling policy enforcement?,data classification verification {date};sensitivity labeling patterns {date},QG-DC1,compliance,,Basic: Manual classification;Advanced: ML-assisted auto-classification,compliance;data-residency
disaster-recovery-drill-verification,Disaster Recovery Drill Verification,gate-verification,Use when: dr drill gate verification,"DR testing,recovery validation,RTO/RPO verification",DR drill gate verification,failover-testing;recovery-time;data-integrity;runbook-validation,DR frequency?;Recovery targets met?;Runbook accuracy?,disaster recovery drill verification {date};DR testing best practices {date},QG-DR1,disaster-recovery,,Basic: Annual DR test;Advanced: Quarterly automated drills,disaster-recovery;deployment
foundation-gate-verification,Foundation Gate Verification,gate-verification,Use when: foundation gate verification,"platform foundation,shared kernel,tenant model",Foundation gate verification,architecture-completeness;tenant-model-verified;runtime-ready;test-coverage,Foundation checklist complete?;Shared kernel implemented?;AI runtime configured?,foundation gate verification {date};platform foundation validation {date},QG-F1,tenant-isolation,,Basic: Checklist validation;Advanced: Automated foundation tests,tenant-isolation;ai-runtime
migration-gate-verification,Migration Gate Verification,gate-verification,Use when: migration gate verification,"data migration,schema changes,zero-downtime",Migration gate verification,data-integrity;rollback-plan;performance-impact;tenant-isolation,Migration strategy validated?;Rollback tested?;Tenant data preserved?,migration gate verification {date};zero-downtime migration patterns {date},QG-MG1,migration-per-tenant,,Basic: Migration scripts;Advanced: Automated migration validation,tenant-migration-patterns;deployment
operations-continuous-verification,Operations Continuous Verification,gate-verification,Use when: operations continuous gate verification,"operational health,postmortem process,continuous improvement",Operations continuous gate verification,postmortem-completeness;action-item-tracking;metric-health;improvement-cycle,Postmortem rate?;Action completion rate?;Operational metrics healthy?,operations continuous verification {date};SRE operational excellence {date},QG-OC,sre,,Basic: Postmortem completion;Advanced: Full operational maturity,sre-guide;incident-response-patterns;runbook-guide
post-deployment-verification,Post Deployment Verification,gate-verification,Use when: post-deployment gate verification,"deployment validation,smoke tests,rollback readiness",Post-deployment gate verification,smoke-test-pass;monitoring-active;tenant-health;rollback-ready,Smoke tests passing?;Monitoring active?;Rollback procedure ready?,post-deployment verification {date};deployment validation patterns {date},QG-PD1,deployment,,Basic: Manual smoke tests;Advanced: Automated deployment validation,deployment;observability
performance-review-verification,Performance Review Verification,gate-verification,Use when: performance review gate verification,"performance baseline,SLA compliance,capacity planning",Performance review gate verification,baseline-comparison;sla-compliance;capacity-runway;cost-efficiency,Performance within targets?;SLAs met?;Capacity sufficient?,performance review verification {date};SaaS performance benchmarking {date},QG-PR1,performance,,Basic: Metric comparison;Advanced: Predictive capacity analysis,performance-isolation;sla-management-guide
security-baseline-verification,Security Baseline Verification,gate-verification,Use when: security baseline gate verification,"security baseline,vulnerability scanning,hardening",Security baseline gate verification,vulnerability-scan;hardening-checklist;compliance-mapping;remediation-tracking,Scan coverage complete?;Critical vulns remediated?;Hardening applied?,security baseline verification {date};security hardening patterns {date},QG-S3,security,,Basic: Vulnerability scan;Advanced: Continuous security posture,all-security-patterns;compliance
ai-security-verification,Ai Security Verification,gate-verification,Use when: ai security gate verification,"AI security,prompt injection,model security",AI security gate verification,prompt-injection-prevention;model-access-control;output-filtering;agent-safety,Prompt security tested?;Model access controlled?;Output filtered?,AI security verification {date};LLM security best practices {date},QG-S4,ai-safety,,Basic: Output filtering;Advanced: Full AI red teaming,ai-security;testing-agent-safety
network-security-verification,Network Security Verification,gate-verification,Use when: network security gate verification,"network segmentation,firewall rules,traffic encryption",Network security gate verification,segmentation-verified;firewall-rules;encryption-enforced;ingress-egress,Network segmented?;Traffic encrypted?;Rules audited?,network security verification {date};cloud network security {date},QG-S6,security,,Basic: Firewall rules;Advanced: Zero-trust networking,all-security-patterns;network-security-patterns
identity-verification,Identity Verification,gate-verification,Use when: identity gate verification,"authentication,authorization,identity management",Identity gate verification,mfa-enforced;rbac-verified;sso-configured;session-management,MFA enabled?;RBAC correct?;SSO configured?,identity verification {date};IAM best practices {date},QG-S7,sso-authentication,,Basic: Password policy;Advanced: Zero-trust identity,sso-integration-patterns;rbac-abac-patterns
secrets-security-verification,Secrets Security Verification,gate-verification,Use when: secrets security gate verification,"secrets management,rotation,vault",Secrets security gate verification,secrets-inventoried;rotation-configured;vault-access;no-hardcoded,Secrets in vault?;Rotation policy?;No hardcoded secrets?,secrets security verification {date};secrets management best practices {date},QG-S8,secrets-management,,Basic: Env vars;Advanced: Full vault with rotation,encryption-key-management;encryption-patterns
logging-security-verification,Logging Security Verification,gate-verification,Use when: logging security gate verification,"security logging,audit trails,log integrity",Logging security gate verification,audit-coverage;log-integrity;retention-policy;access-control,Audit events logged?;Logs immutable?;Retention compliant?,security logging verification {date};audit logging best practices {date},QG-S9,audit-logging,,Basic: Application logs;Advanced: Immutable audit trails,audit-logging-patterns;compliance
endpoint-security-verification,Endpoint Security Verification,gate-verification,Use when: endpoint security gate verification,"API security,endpoint protection,input validation",Endpoint security gate verification,input-validation;rate-limiting;authentication;authorization,Inputs validated?;Rate limits set?;Auth enforced?,endpoint security verification {date};API security best practices {date},QG-S10,api-security,,Basic: Input validation;Advanced: Full API security suite,all-security-patterns;rate-limiting
security-audit-verification,Security Audit Verification,gate-verification,Use when: security audit gate verification,"security audit,penetration testing,compliance audit",Security audit gate verification,pentest-complete;audit-findings;remediation-plan;evidence-collected,Pentest passed?;Audit complete?;Evidence archived?,security audit verification {date};security audit best practices {date},QG-SA1,security,,Basic: Annual audit;Advanced: Continuous audit readiness,all-security-patterns;compliance
tenant-unit-coverage-verification,Tenant Unit Coverage Verification,gate-verification,Use when: tenant unit coverage gate verification,"unit test coverage,tenant code testing,coverage thresholds",Tenant unit coverage gate verification,coverage-threshold;tenant-code-tested;edge-cases;critical-paths,Coverage >90%?;Tenant code tested?;Critical paths covered?,tenant unit test coverage {date};multi-tenant testing patterns {date},QG-TC1,testing-isolation,,Basic: Line coverage;Advanced: Full tenant code coverage,testing-isolation;testing-agent-safety
cross-tenant-coverage-verification,Cross Tenant Coverage Verification,gate-verification,Use when: cross-tenant coverage gate verification,"cross-tenant tests,isolation testing,boundary tests",Cross-tenant coverage gate verification,blocking-tests;access-path-coverage;security-tests;boundary-validation,All paths covered?;Blocking tests pass?;Boundaries validated?,cross-tenant test coverage {date};tenant isolation testing {date},QG-TC3,testing-isolation,,Basic: API blocking tests;Advanced: Full access path coverage,testing-isolation;tenant-isolation
rag-observability,Rag Observability,observability,Use when: rag pipeline observability,"RAG metrics,retrieval monitoring,semantic search observability",RAG pipeline observability,langfuse;retrieval-latency;relevance-scores;chunk-metrics,What retrieval metrics needed?;Quality baselines defined?;Per-tenant tracking?,RAG observability best practices {date};retrieval metrics multi-tenant {date};semantic search monitoring {date},QG-AI2,rag-retrieval,,Basic: Retrieval latency;Advanced: Full RAG quality metrics,rag-architecture-guide;rag-observability;vector-store-observability
tool-execution-observability,Tool Execution Observability,observability,Use when: tool execution observability,"tool metrics,function calling monitoring,sandbox observability",Tool execution observability,execution-latency;permission-audit;sandbox-metrics;security-alerts,What tool metrics needed?;Sandbox monitoring?;Permission auditing?,AI agent tool execution monitoring {date};function calling observability {date};sandbox monitoring patterns {date},QG-AI2,tool-execution,,Basic: Execution latency;Advanced: Full sandbox monitoring,tool-execution;agent-runtime-patterns
embedding-observability,Embedding Observability,observability,Use when: embedding pipeline observability,"embedding metrics,drift detection,embedding quality",Embedding pipeline observability,generation-latency;drift-detection;cost-tracking;quality-metrics,What embedding metrics needed?;Drift detection configured?;Cost tracking?,embedding observability best practices {date};embedding drift detection {date};embedding cost tracking {date},QG-AI2,embedding-strategy,,Basic: Generation latency;Advanced: Drift detection with quality,embedding-observability;llmops;vector-store-observability
agent-memory-observability,Agent Memory Observability,observability,Use when: agent memory observability,"memory metrics,isolation verification,GDPR audit",Agent memory observability,tier-metrics;isolation-checks;gdpr-deletion;access-audit,What memory metrics needed?;Isolation verification?;GDPR compliance?,AI agent memory observability {date};memory isolation monitoring {date};GDPR deletion audit patterns {date},QG-AI2,memory-tiers,,Basic: Tier metrics;Advanced: Full GDPR audit trail,memory-tiers;compliance
context-window-observability,Context Window Observability,observability,Use when: context window observability,"context metrics,token tracking,utilization monitoring",Context window observability,utilization-ratio;composition-metrics;overflow-detection;efficiency-metrics,What context metrics needed?;Composition tracking?;Overflow alerting?,LLM context window monitoring {date};token utilization tracking {date};context optimization metrics {date},QG-AI2,ai-context,,Basic: Utilization tracking;Advanced: Full composition analysis,context-compiler-patterns;memory-tiers
data-anonymization,Data Anonymization,compliance,"Use for compliance requirements: data anonymization, PII removal, GDPR","data anonymization,PII removal,GDPR",Data anonymization patterns for GDPR compliance,k-anonymity;differential-privacy;pseudonymization;data-masking,What PII types?;Anonymization method?;Reversibility needed?;Audit requirements?,data anonymization GDPR patterns {date};PII removal best practices {date};k-anonymity implementation {date},QG-S7,tenant-data-anonymization,,Basic: Simple masking;Advanced: Differential privacy with audit trail,data-masking-patterns;compliance;tenant-data-anonymization
data-masking,Data Masking,compliance,"Use for compliance requirements: data masking, field-level encryption, sensitive data","data masking,field-level encryption,sensitive data",Data masking patterns for sensitive fields,format-preserving;tokenization;redaction;hashing,What fields to mask?;Format preservation?;Reversibility?;Performance impact?,data masking patterns {date};field-level encryption {date};tokenization best practices {date},QG-S7,data-protection,,Basic: Simple redaction;Advanced: Format-preserving encryption with tokenization,data-masking-patterns;encryption-patterns;compliance
action-contract-8field,8-Field Action Contract,ai-safety,Use when: define 8-field action contract,"agent decisions,proof certificates,tenant isolation",Define 8-field action contract,full-contract;minimal-contract;financial-contract,What risk level for actions?;Proof certificates needed?;Tenant isolation requirements?,AI agent action contract patterns {date};multi-tenant agent safety contracts {date},QG-AI3,agent-runtime,,Basic: tenant_id + action_type;Advanced: Full 8-field with proofs,8-field-action-contract-guide;run-contracts
prg-gate,PRG Gate,quality,Use when: configure prg 10 checks,"production readiness,deployment gate,safety checks",Configure PRG 10 checks,full-prg;partial-prg;mini-prg;emergency-prg,All 10 checks needed?;What automation level?;Manual approval workflow?,production readiness gate AI systems {date};multi-tenant deployment checklist {date},QG-PRG,action-contract-8field,,Basic: 4 critical checks;Advanced: Full 10-check automation,prg-gate-implementation;production-readiness
request-loop,Request Loop,runtime,Use when: handle user requests <100ms,"synchronous handling,latency,tenant routing",Handle user requests <100ms,fast-path;queued;streaming,What latency target?;Tier-based routing needed?;Timeout handling?,AI agent request loop patterns {date};multi-tenant request routing {date},QG-M3,tenant-routing,,Basic: Direct routing;Advanced: Tier-based priority pools,request-loop-patterns;tenant-routing
control-loop,Control Loop,runtime,Use when: manage agent state transitions,"state machines,orchestration,workflows",Manage agent state transitions,simple-fsm;langgraph;custom-orchestration,What state complexity?;Checkpoint frequency?;Cross-session state?,AI agent state machine patterns {date};LangGraph control flow {date},QG-M3,agent-runtime,,Basic: In-memory state;Advanced: Distributed checkpoints,control-loop-patterns;agent-runtime-patterns
learning-loop,Learning Loop,runtime,Use when: tenant-isolated model improvement,"feedback,improvement,privacy",Tenant-isolated model improvement,per-tenant;federated;shared-consent,Fine-tuning per tenant?;Privacy requirements?;Consent management?,federated learning multi-tenant {date};RLHF tenant isolation {date},QG-M3,agent-runtime;compliance,,Basic: Shared with consent;Advanced: Federated with differential privacy,learning-loop-patterns;llmops
economic-loop,Economic Loop,runtime,Use when: real-time budget enforcement,"budgets,quotas,cost control",Real-time budget enforcement,hard-limit;soft-throttle;alert-only,What enforcement level?;Overage handling?;Per-action vs per-day?,AI usage metering multi-tenant {date};token budget management {date},QG-M3,usage-metering;quota-management,,Basic: Daily limits;Advanced: Real-time per-action budgets,economic-loop-patterns;quota-management
recovery-loop,Recovery Loop,runtime,Use when: tenant-scoped failure recovery,"rollback,resilience,fault tolerance",Tenant-scoped failure recovery,retry;compensate;checkpoint;quarantine,What recovery SLA?;Blast radius containment?;Rollback depth?,AI agent rollback patterns {date};multi-tenant failure isolation {date},QG-M3,disaster-recovery,,Basic: Retry with backoff;Advanced: Full checkpoint restore,recovery-loop-patterns;disaster-recovery
federation-a2a,A2A Federation,runtime,Use when: cross-boundary agent communication,"agent-to-agent,interop,cross-tenant",Cross-boundary agent communication,internal;partner;public,What trust level?;Rate limiting?;Proof requirements?,agent-to-agent protocol {date};multi-tenant AI federation {date},QG-M3,agent-runtime;tenant-isolation,,Basic: Internal only;Advanced: Public marketplace with mTLS,tier-h-federation-patterns;agent-runtime-patterns
